"No.","Scan List Name","Scan Channel Member","Scan Channel Member RX Frequency","Scan Channel Member TX Frequency","Scan Mode","Priority Channel Select","Priority Channel 1","Priority Channel 1 RX Frequency","Priority Channel 1 TX Frequency","Priority Channel 2","Priority Channel 2 RX Frequency","Priority Channel 2 TX Frequency","Revert Channel","Look Back Time A[s]","Look Back Time B[s]","Dropout Delay Time[s]","Dwell Time[s]"
"11","SM7 Ovriga","Algutsrum 1 VSE|Algutsrum 2 UI|Algutsrum 3 USE|Boda VSE|Borgholm 1 VSE|Borgholm 2 USE|Borgholm 3 VLS|Bredaryd V|Bruzaholm U|Ekenassjon 1 VH|Ekenassjon 2 V|Eksjo U|Emmaboda 1 V|Emmaboda 2 U|Everod VLS|Hillerstorp U|Hultsfred V|Huskvarna U|Jonkoping 2 V|Jonkoping 3 U|Jonkoping 4 VS|Karlshamn U|Karlskrona 1 V|Karlskrona 2 U|Linderod VI|Ljungby VSE|Moheda VSE|Morbylanga VSE|Nassjo 1 V|Nassjo 2 V|Nassjo 3 U|Nassjo 4 U|Nybro V|Olofstrom 1 VE|Olofstrom 2 UI|Oskarshamn 1 V|Oskarshamn 2 U|Sodra_Vi 1 U|Sodra_Vi 2 ULAE|Solvesborg 2 U|Spjutsbygd 1 VS|Varnamo 1 V|Vastervik 1 V|Vastervik 2 U|Vaxjo 1 VSE|Vaxjo 2 U|Vaxjo 3 VA|Vetlanda 1 V|Vetlanda 2 U","145.60000|434.55000|434.60000|145.75000|145.66250|434.77500|145.31250|145.68750|434.60000|144.85000|145.71250|434.56250|145.77500|434.78750|145.23750|434.60000|145.76250|434.75000|145.75000|434.97500|145.70000|434.92500|145.75000|434.75000|145.58750|145.72500|145.63750|145.62500|145.58750|145.65000|434.85000|434.90000|145.68750|145.70000|434.71250|145.72500|434.72500|434.66250|433.50000|434.62500|145.72500|145.60000|145.67500|434.67500|145.67500|434.70000|145.57500|145.62500|434.62500","145.00000|432.55000|432.60000|145.15000|145.06250|432.77500|145.31250|145.08750|432.60000|144.85000|145.11250|432.56250|145.17500|432.78750|145.23750|432.60000|145.16250|432.75000|145.15000|432.97500|145.10000|432.92500|145.15000|432.75000|144.98750|145.12500|145.03750|145.02500|144.98750|145.05000|432.85000|432.90000|145.08750|145.10000|432.71250|145.12500|432.72500|432.66250|433.50000|432.62500|145.12500|145.00000|145.07500|432.67500|145.07500|432.70000|144.97500|145.02500|432.62500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"12","LA","Mosjoen 1|Sandnessjoen 1 U|Drammen 1 U|Skien 1 U|Follo 1 U|Grimstad UI|Stavanger 2 V|Kongsvinger 1 U|Kongsberg 1 U|Oppdal V|Verdal 2 VL|Rodoy VLI|Nesna ULI|Bodo VI|Meloy VLE|Haugesund 1 U|Kristianstad 3 V|Sandnessjoen 2 V|Mo_i_Rana 1 U|Tromso 2 U|Egersund 2 V|Bergen 2 VE|Skotterud VL|Hokasen 1 V|Alvdalen 2 V|Torseterkampen U|Notodden 1 U|Ralingen 1 U|Drammen 2 V|Drammen 3 U|Kongsberg 2 V|Kongsberg 3 U|Notodden 2 VL|Larvik VL|Oslo 1 UE|Vangsasen U|Hokasen 2 U|Hokasen 3 U|Eidsvoll U|Follo 2 V|Fredrikstad 1 V|Fredrikstad 2 U|Kongsvinger 3 V|Sunnhordland V|Kirkenes V|Kristianstad 4 V|Mo_i_Rana 2 VE|Vesteralen V|S._Sunnmore VE|Tromso 3 V","434.82500|434.80000|434.52500|434.51250|434.90000|434.70000|145.77500|434.62500|434.83750|145.77500|145.45000|145.31250|433.95000|145.75000|145.28750|434.75000|145.75000|145.72500|434.85000|434.75000|145.72500|145.75000|144.66250|145.71250|145.60000|434.75000|434.92500|434.82500|145.72500|434.72500|145.70000|434.62500|144.67500|144.65000|434.97500|434.70000|434.65000|434.56250|434.87500|145.78750|145.68750|434.70000|145.65000|145.62500|145.75000|145.60000|145.67500|145.60000|145.72500|145.62500","432.82500|432.80000|432.52500|432.51250|432.90000|432.70000|145.17500|432.62500|432.83750|145.17500|145.45000|145.31250|433.95000|145.15000|145.28750|432.75000|145.15000|145.12500|432.85000|432.75000|145.12500|145.15000|144.66250|145.11250|145.00000|432.75000|432.92500|432.82500|145.12500|432.72500|145.10000|432.62500|144.67500|144.65000|432.97500|434.70000|432.65000|432.56250|432.87500|145.18750|145.08750|432.70000|145.05000|145.02500|145.15000|145.00000|145.07500|145.00000|145.12500|145.02500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"13","OH0","Dalkarby V|Jomala U","145.67500|434.55000","145.07500|432.55000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"14","OH1","Jamijarvi U|Kaarina V|Kankaanpaa V|Kiukainen V|Kokemaki U|Koski U|Parainen U|Rauma U|Salo 1 V|Salo 2 U|Turku V|Uusikaupunki U","434.97500|145.65000|145.62500|145.72500|434.65000|434.92500|434.85000|434.67500|145.70000|434.70000|145.77500|434.82500","432.97500|145.05000|145.02500|145.12500|433.05000|432.92500|433.25000|433.07500|145.10000|433.10000|145.17500|433.22500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"15","OH2","Artjarvi U|Espoo 1 U|Espoo 2 V|Espoo 3 V|Espoo 4 U|Helsinki 1 U|Helsinki 2 V|Jarvenpaa U|Lohja 2 V|Lohja 3 U|Loviisa 1 V|Loviisa 2 U|Porvoo 2 U|Vantaa 2 U","434.77500|434.51250|145.78750|145.62500|434.82500|434.57500|145.75000|434.65000|145.60000|434.72500|145.60000|434.70000|434.87500|434.90000","433.17500|432.51250|145.18750|145.02500|432.82500|432.57500|145.15000|432.65000|145.00000|433.12500|145.00000|433.10000|432.87500|432.90000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"16","OH3","Erkyla V|Forssa V|Hameenlinna 2 V|Hameenlinna 3 U|Lahti 1 U|Lahti 2 V|Lahti 3 U|Riihimaki U|Tampere 2 UF|Tampere 3 UF|Tampere 4 V|Tampere 5 U|Vesijako U|Virrat U","145.72500|145.65000|145.67500|434.62500|434.55000|145.77500|434.60000|434.67500|434.52500|434.55000|145.75000|434.85000|434.80000|434.90000","145.12500|145.05000|145.07500|432.62500|432.55000|145.17500|432.60000|432.67500|432.52500|432.55000|145.15000|432.85000|432.80000|432.90000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"17","OH4","Mikkeli 1 U|Mikkeli 2 V|Pieksamaki 1 U|Pieksamaki 2 V|Savonlinna V","434.75000|145.75000|434.80000|145.67500|145.62500","433.15000|145.15000|432.80000|145.07500|145.02500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"18","OH5","Hamina U|Joutseno V|Kotka 2 V|Kouvola 2 U|Kuusankoski V|Lappeenranta 2 U","434.92500|145.77500|145.65000|434.85000|145.70000|434.77500","433.32500|145.17500|145.05000|433.25000|145.10000|432.77500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"19","OH6","Jakobstad 1 VE|Jakobstad 2 U|Jamsa 2 V|Jamsankoski U|Jyvaskyla 2 V|Jyvaskyla 3 U|Jyvaskyla 4 U|Kauhajoki U|Kaustinen U|Kokkola 1|Kokkola 2 V|Kokkola 3 U|Lapua V|Narpio 1 V|Narpio 2 U|Pihtipudas V|Saarijarvi UF|Seinajoki 1 U|Seinajoki 2 V|Teuva U|Vaasa 1 U|Vaasa 2 V","145.62500|434.70000|145.60000|434.70000|145.70000|434.65000|434.72500|434.87500|434.90000|145.57500|145.70000|434.80000|145.65000|145.70000|434.80000|145.77500|434.51250|434.67500|145.67500|434.92500|434.75000|145.75000","145.02500|432.70000|145.00000|433.10000|145.10000|433.05000|432.72500|433.27500|432.90000|144.97500|145.10000|432.80000|145.05000|145.10000|433.20000|145.17500|432.51250|432.67500|145.07500|433.32500|432.75000|145.15000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"20","OH7","Iisalmi 1 V|Iisalmi 2 U|Joensuu 1 V|Joensuu 2 U|Joensuu 3 V|Kuopio V|Nurmes V","145.65000|434.75000|145.75000|434.65000|145.72500|145.60000|145.67500","145.05000|433.15000|145.15000|433.05000|145.12500|145.00000|145.07500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"21","OH8","Kajaani 1 V|Kajaani 2 U|Kuusamo 1 V|Kuusamo 2 U|Nivala V|Oulu 3 V|Oulu 4 U|Oulu 5 U|Pattijoki U|Ylivieska 2 U","145.70000|434.67500|145.72500|434.72500|145.60000|145.75000|434.75000|434.97500|434.92500|434.60000","145.10000|433.07500|145.12500|433.12500|145.00000|145.15000|432.75000|432.97500|432.92500|432.60000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"22","OH9","Kemijarvi V|Kolari V|Rovaniemi 1 V|Rovaniemi 2 U|Tervola 2 V|Tornio U|Yllastunturi U","145.65000|145.60000|145.70000|434.70000|145.77500|434.77500|434.65000","145.05000|145.00000|145.10000|432.70000|145.17500|433.17500|433.05000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"23","OZ","Aarhus U|Bandholm V|Dutterhoj U|Esbjerg 1 V|Eskebjerg U|Frederikshav 2 U|Gilleleje U|Gorlose U|Grenaa V|Hanstholm V|Helsingor 1 V|Helsingor 2 U|Herlev U|Herning 2 V|Hjorring V|Hobro U|Hundborg V|Knivsbjerg 1 U|Knivsbjerg 2 V|Maribo U|Nykobing ULI|Odense V|Randers V|Regnemark U|Ringsted 1 U|Ringsted 2 V|Roret V|Roskilde U|Skive V|Svendborg 1 V|Svendborg 2 UE|Saby V|Skjoldbjerg V|Them V|Vejby V|Vejle U|Vejrhoj V|Vestjylland V|Vissenbjerg V|Vongshoj V|Yding 2 U|Yding 3 V|Ostermarie V|Aalborg 1 V|Aalborg 2 U|Vodskov U|Fredrikstad 4 U|Frederikshav 3 U|Aalborg 3 U+|Ringsted 3 U","434.57500|145.65000|434.92500|145.65000|434.80000|434.97500|434.85000|434.70000|145.66250|145.73750|145.61250|434.63750|434.62500|145.62500|145.61250|434.72500|145.78750|434.72500|145.72500|434.82500|433.50000|145.65000|145.72500|434.63750|434.62500|145.62500|145.70000|434.87500|145.75000|145.75000|434.87500|145.77500|145.73750|145.63750|145.72500|434.92500|145.60000|145.60000|145.70000|145.61250|434.75000|145.67500|145.65000|145.65000|434.96250|434.67500|434.62500|434.82500|434.68750|434.86250","432.57500|145.05000|432.92500|145.05000|432.80000|432.97500|432.85000|432.70000|145.06250|145.13750|145.01250|432.63750|432.62500|145.02500|145.01250|432.72500|145.18750|432.72500|145.12500|432.82500|433.50000|145.05000|145.12500|432.63750|432.62500|145.02500|145.10000|432.87500|145.15000|145.15000|432.87500|145.17500|145.13750|145.03750|145.12500|432.92500|145.00000|145.00000|145.10000|145.01250|432.75000|145.07500|145.05000|145.05000|432.96250|432.67500|432.62500|432.82500|432.68750|432.86250","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"24","TF","Akureyri V|Bruaras V|Burfell V|Reykjavik 1 V|Reykjavik 2 V","145.62500|145.75000|145.70000|145.60000|145.65000","145.02500|145.15000|145.10000|145.00000|145.05000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"25","JW","Svalbard V","145.60000","145.00000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"26","Marin-VHF","Marin-VHF 16|Marin-VHF 67|Marin-VHF 71|Marin-VHF 73|Marin-VHF 74|Marin-VHF 69","156.80000|156.37500|156.57500|156.67500|156.72500|156.47500","156.80000|156.37500|156.57500|156.67500|156.72500|156.47500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"27","PMR-SRBR","PMR 1|PMR 2|PMR 3|PMR 4|PMR 5|PMR 6|PMR 7|PMR 8|PMR 9|PMR 10|PMR 11|PMR 12|PMR 13|PMR 14|PMR 15|PMR 16|156.000|SRBR 1|SRBR 2|SRBR 3|SRBR 4|SRBR 5|SRBR 6|SRBR 7|SRBR 8","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375|156.00000|444.60000|444.65000|444.80000|444.82500|444.85000|444.87500|444.92500|444.97500","446.00625|446.01875|446.03125|446.04375|446.05625|446.06875|446.08125|446.09375|446.10625|446.11875|446.13125|446.14375|446.15625|446.16875|446.18125|446.19375|156.00000|444.60000|444.65000|444.80000|444.82500|444.85000|444.87500|444.92500|444.97500","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
"28","Jakt","Jakt-01|Jakt-02|Jakt-03|Jakt-04|Jakt-05|Jakt-06|Jakt-07","155.42500|155.47500|155.50000|155.52500|156.00000|155.40000|155.45000","155.42500|155.47500|155.50000|155.52500|156.00000|155.40000|155.45000","Off","Off","Off","","","Off","","","Selected","3.0","3.0","3.1","3.1"
"29","Simplex","145.225|145.375|145.450|145.500|433.450|433.500","145.22500|145.37500|145.45000|145.50000|433.45000|433.50000","145.22500|145.37500|145.45000|145.50000|433.45000|433.50000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"30","Diverse","Oresundslinjen 1|Oresundslinjen 2|Oresundslinjen 3|Oresundslinjen 4","409.50000|409.25000|440.02500|440.60000","409.50000|409.25000|440.02500|440.60000","Off","Off","Off","","","Off","","","Selected","0.5","0.5","0.1","0.1"
"31","OH","Porvoo 2 U|Mikkeli 1 U|Lohja 2 V|Lappeenranta 2 U|Lahti 1 U|Kuusamo 1 V|Kouvola 2 U|Kotka 2 V|Kokkola 1|Jyvaskyla 2 V|Hameenlinna 2 V|Helsinki 1 U|Espoo 1 U|Tampere 2 UF|Tampere 3 UF|Tervola 2 V|Vantaa 2 U|Virrat U|Ylivieska 2 U","434.87500|434.75000|145.60000|434.77500|434.55000|145.72500|434.85000|145.65000|145.57500|145.70000|145.67500|434.57500|434.51250|434.52500|434.55000|145.77500|434.90000|434.90000|434.60000","432.87500|433.15000|145.00000|432.77500|432.55000|145.12500|433.25000|145.05000|144.97500|145.10000|145.07500|432.57500|432.51250|432.52500|432.55000|145.17500|432.90000|432.90000|432.60000","Off","Off","Off","","","Off","","","Selected","2.0","3.0","3.1","3.1"
